geneID	flhDCn	flhDCp
b0489	67.3146999	48.69137797
b3021	127.6390271	142.9183671
b1588	5.686887347	17.31822333
b1101	546.9454776	364.0919342
b3210	98.58110509	65.7428786
b3707	2387.289942	720.6175829
b0934	1.000305855	4.291842856
b1299	19.59308759	19.18869096
b1377	0.978076836	2.99747755
b0123	69.05941359	49.31053494
b2028	30.54918653	25.77753637
b2199	53.03084894	29.24733888
b1711	26.81186776	24.42806704
b3701	183.4893465	170.1113431
b0872	6.540699585	15.25929516
b4075	1.237878496	0.885192589
b2112	293.29819	169.3542928
b3651	52.81614915	32.51350866
b2459	1.773676651	3.593617675
b4541	2.49132779	0.534455903
b3049	1629.417616	969.8539936
b3238	4405.346986	2821.672086
b2648	1.980605593	5.66523257
b3233	1543.978856	1200.347773
b2126	14.94264718	18.3464827
b3818	0.83175038	43.26988656
b1875	32.41626085	44.96216325
b3105	105.279013	99.85209245
b4004	45.28805549	54.47339009
b0984	2.191227933	1.783048877
b2036	155.1474381	104.0678592
b1375	0	0
b0600	22.24556153	57.96982164
b1618	184.1862663	97.48801224
b0036	4.838120533	7.135598275
b3721	2.01845156	55.0886734
b2998	34.11042966	23.01500731
b4639	1.821246522	5.860585417
b3747	67.9912546	57.92541167
b2681	9.684455192	8.223724698
b2751	54.3695653	47.60699638
b4158	12.57527361	23.7400222
b3316	774.0689386	684.0920619
b3157	334.7034823	623.8230378
b4419	1.467115254	0
b4438	9.106232612	17.58175625
b2924	641.8910392	475.9190148
b2282	218.5551693	106.0058855
b0430	212.8104351	107.7775952
b0269	3040.229585	1725.305126
b1632	19.12308849	26.37263438
b1113	172.927641	144.1898757
b1180	126.5186846	223.7766865
b2663	30.42300668	14.31472041
b1542	4.338082066	19.89229506
b1012	1.241110554	3.845849786
b0547	0.347474665	0.745425338
b1413	47.9039631	41.49859061
b0292	3.078968336	2.540463036
b3319	1042.988213	969.5400492
b0643	951.6748366	422.9571148
b2060	5.640559618	2.514388935
b0929	1808.843984	952.0087789
b0158	11.07754439	11.24559274
b0730	33.74973846	15.04460101
b2579	13761.90786	15339.05978
b1536	830.1408481	178.1737266
b3796	111.1196904	59.59530366
