geneID	flhDCn	flhDCp
b3764	1840	1786
b2801	79	68
b0314	1530	1282
b2446	9	13
b3134	28	27
b0023	8629	8786
b3623	694	587
b3599	2400	1711
b0833	50	34
b1667	1460	4660
b3002	1137	1136
b2777	2089	1804
b2427	44	45
b1418	470	360
b2946	239	312
b0104	903	713
b2149	188	75
b1789	72	67
b1595	54	42
b0967	186	115
b3752	1868	1319
b2886	33	87
b0806	468	597
b4660	23	59
b2178	114	132
b2585	1627	1145
b1666	2	1
b0449	475	350
b3549	147	141
b1414	689	671
b2763	786	808
b2402	45	70
b0191	72	50
b4599	7745	6960
b2754	42	57
b1236	1194	9260
b1575	0	0
b4643	2	3
b2571	626	628
b2114	1167	733
b0328	0	0
b2277	2345	1199
b0582	0	0
b0169	16426	11935
b2923	206	193
b1919	384	642
b1637	2136	2016
b1572	0	0
b3758	0	0
b3403	5068	2363
b1861	281	183
b2929	183	615
b1573	5	16
b3606	112	94
b3144	66	62
b3449	601	530
b2847	108	49
b4188	2116	839
b0084	1196	774
b0621	555	228
b4328	0	0
b4490	55	55
b2468	262	356
b1350	9	40
b1877	8	180
b1412	90	159
b3319	3989	3457
b0677	940	674
b2005	0	5
b1330	129	99
b2268	0	0
b1552	5207	1659
b1760	191	1374
b0530	15	11
b4002	17	221
b1478	1611	886
b1349	7	52
b0568	231	225
b2868	29	23
b4536	376	191
b3916	6119	19044
b3990	110	92
b3627	625	499
b0798	74	48
b0264	0	0
b1166	143	50
b3354	17	9
b0285	140	77
b2630	850	677
b0862	564	273
b3472	3308	2897
b4096	31	20
b4703	92	125
b1615	62	16
b4546	35	31
b0399	328	288
b3805	1942	1484
b1700	0	6
b0646	3	11
b0522	264	340
b0423	520	657
b4341	0	0
b4543	17	18
b1024	117	113
b1032	5	3
b0127	278	224
b3175	4952	5609
b3509	2764	469
b3853	0	0
b1551	74	96
b4554	4344	2010
b0107	87	479
b2401	0	3
b0842	229	161
b0198	273	261
b0617	0	0
b3674	221	238
b1719	3519	2669
b2606	4638	4043
b1692	8	25
b3553	788	1126
b3341	7793	7039
b2122	36	208
b3810	422	253
b4290	810	777
b1374	0	0
b0906	397	708
b2562	89	105
b4282	16	17
b0415	619	541
b2354	18	19
b3654	210	184
b1656	5280	3441
b2339	10	15
b2168	9946	6094
b2271	1	5
b0234	16	32
b2924	3488	2411
b2269	2	7
b3882	4	15
b1885	1184	4780
b1507	70	156
b4077	2312	9023
b2289	141	462
b1834	680	403
b0248	0	1
b0926	974	682
b3583	32	52
b3130	149	156
b2866	95	138
b3090	49	40
b2419	45	43
b2071	11	21
b0413	340	348
b0348	10	24
b2623	146	155
b3145	77	68
b1353	11	13
b1915	163	164
b3225	1442	1462
b0304	86	35
b0432	1438	659
b0559	65	187
b4141	205	1018
b2457	45	153
b1309	22	13
b4039	208	145
b1342	427	194
b3027	11	41
b1986	60	127
b0231	134	120
b2917	38	55
b0631	781	807
b0101	115	91
b1174	230	142
b0583	39	38
b2399	140	1428
b0201	0	0
b1277	666	676
b4291	3794	3715
b3079	3	9
b1140	0	0
b4388	569	522
b3067	4040	4080
b4412	0	0
b3499	498	440
b3054	467	339
b0043	11	27
b0037	42	72
b0010	256	202
b0548	0	0
b4655	3	10
b2358	0	4
b1751	31	10
b3197	598	629
b1617	398	180
b3604	184	1162
b2364	61	77
b3958	153	157
b2652	2	3
b3945	556	476
b3995	1254	942
b2270	20	37
b3212	639	476
b2258	0	0
b2245	26	46
b3818	2	97
b4460	94	205
b0499	4	6
b1485	30	84
b1068	245	622
b2933	17	67
b0925	3909	1781
b1565	15	44
b1644	51	69
b2465	5088	2295
b2063	406	210
b4195	10	19
b0676	606	402
b3821	272	209
b3356	1219	1145
b2951	142	148
b3933	842	649
b4556	59	164
b0092	834	740
b4665	14	23
b3536	689	471
b3343	120	166
b3999	724	774
b2731	294	169
b0927	920	929
b3833	1423	1136
b1057	19	21
b2383	87	224
b1937	96	1493
b1675	326	204
b3630	129	150
b4292	207	213
b1603	1418	1482
b2482	42	87
b2299	539	1325
b0087	845	610
b3476	77	247
b3713	899	3036
b1724	248	117
b2827	634	695
b3215	3	9
b0641	664	622
b1452	1778	1369
b0999	302	202
b1600	171	117
b0351	0	0
b2218	1483	1075
b0552	0	0
b0491	135	114
b3469	3083	3789
b1111	227	212
b0753	26639	6319
